ID,time,event,Death_Causes,Density,RoadBuild,LocCore,Age_F,Age_M,Conf2,Conf1,TimePres,Moose,Country,LocEast,F_male ,F_female,F
73,2,0,0,-0.346325249,0.561783013,-1.339192811,-0.655390394,-0.559930702,-0.672668258,-0.110382687,-0.428831451,-0.572160771,3,0.544321983,0.298345063,0.191620136,1.932664258
73,3,0,0,1.065763335,1.039341893,-1.372774243,-0.255656418,-0.106828884,-0.537673691,0.08579303,1.026771793,-0.495238902,3,0.462323945,0.298345063,0.191620136,1.932664258
73,4,1,0,0.359719043,0.925811141,-1.383877195,0.144077558,0.346272934,-0.610996338,-0.027744882,0.818807919,-0.585742463,3,0.501476575,0.298345063,0.191620136,1.932664258
74,1,0,0,0.359719043,0.868400393,0.820230369,-1.05512437,-1.013032519,-1.761039498,-0.420597428,-1.250667713,-0.33349742,3,1.128239754,0.69830035,0.617340045,2.307805434
74,2,0,0,0.359719043,1.34431542,0.76689615,-0.655390394,-0.559930702,-1.617526219,-0.105629445,-0.898642392,-0.650556719,3,1.110383678,0.69830035,0.617340045,2.307805434
74,3,0,0,-0.346325249,0.686157431,1.351347276,-0.255656418,-0.106828884,-1.843386563,-0.646349514,-0.768896666,-0.377898422,3,1.164353295,0.69830035,0.617340045,2.307805434
74,4,0,0,-0.346325249,1.362858049,1.214896123,0.144077558,0.346272934,-2.059662712,-1.199760803,-0.878300746,0.074643764,3,1.11714995,0.69830035,0.617340045,2.307805434
74,5,1,0,-0.346325249,1.310430222,1.255105681,0.543811534,0.799374752,-2.08347179,-1.303961297,-0.660945023,0.386681962,3,1.156348452,0.69830035,0.617340045,2.307805434
75,1,1,2,-0.346325249,1.394471252,-0.002063356,-0.655390394,-1.013032519,0.874973227,1.778032522,1.063774816,-1.286940251,3,1.080371249,-2.588962957,0.349080966,-1.671150973
76,1,0,0,1.771807628,0.801375218,-1.63237094,-0.655390394,0.346272934,-0.092864294,0.687739123,0.152860973,-0.936162041,3,0.073378011,0.090159612,-0.169940217,-0.088178208
76,2,0,0,0.359719043,0.831921398,-1.825998447,-0.255656418,0.799374752,-0.241504812,0.569218005,0.083482001,-0.904259071,3,0.082300314,0.090159612,-0.169940217,-0.088178208
76,3,0,0,1.065763335,0.834302937,-1.65220669,0.144077558,1.252476569,0.071963759,0.74258278,0.588788917,-0.915414027,3,-0.049343807,0.090159612,-0.169940217,-0.088178208
77,1,0,0,1.771807628,0.77356767,-1.506143574,0.543811534,-0.559930702,0.65029528,1.108819608,0.126234554,-0.64394861,3,-0.068220558,0.090159612,0.337412335,1.903144952
77,2,1,0,1.065763335,0.782351651,-1.531883907,0.94354551,-0.106828884,0.468193484,0.946869502,0.004850623,-0.790059462,3,-0.121616763,0.090159612,0.337412335,1.903144952
78,2,0,0,-0.346325249,-0.086954042,0.086612758,0.144077558,0.346272934,0.237048322,0.497306737,-0.889368304,-0.51877739,3,0.321814861,-1.186398476,1.597063143,-0.00946006
78,3,0,0,-1.052369541,0.615616767,-0.670878095,0.543811534,0.799374752,0.284885695,0.830715259,-0.978173119,-0.307615826,3,0.11555826,-1.186398476,1.597063143,-0.00946006
78,4,0,0,-1.052369541,-0.313732264,-0.320921782,0.94354551,1.252476569,0.397670799,0.458177162,-0.915297156,-0.471086805,3,0.159286723,-1.186398476,1.597063143,-0.00946006
78,5,0,0,-0.346325249,0.635922927,-0.916256498,1.343279486,1.705578387,0.272682291,0.859426981,-0.479694501,-0.35334368,3,0.127404969,-1.186398476,1.597063143,-0.00946006
78,6,0,0,-1.052369541,0.526305744,-1.095651449,1.743013462,2.158680205,0.261453295,0.922550745,-0.254032478,-0.42344996,3,0.126590723,-1.186398476,1.597063143,-0.00946006
78,7,1,0,-1.052369541,0.46757197,-0.830640141,2.142747438,2.611782023,0.246189635,0.780903313,0.162109876,-0.621739865,3,0.183599428,-1.186398476,1.597063143,-0.00946006
79,1,0,0,-0.346325249,-0.911189717,-0.066104641,-1.05512437,-0.559930702,1.138997057,-0.193170216,-0.369716987,-1.056219691,3,0.510341537,0.742127685,0.23244243,-0.184115951
79,2,0,0,-0.346325249,-0.666827553,-0.225267337,-0.655390394,-0.106828884,1.046407182,-0.073724667,-0.226947524,-1.17522036,3,0.472920615,0.742127685,0.23244243,-0.184115951
79,3,0,0,-1.052369541,-0.650903778,-0.306811366,-0.255656418,0.346272934,1.170946281,-0.258569632,0.330840701,-0.138319249,3,0.582327786,0.742127685,0.23244243,-0.184115951
79,4,1,0,-0.346325249,-0.587749781,-0.212666761,0.144077558,0.799374752,1.107599045,-0.246091682,0.309377197,-0.261440543,3,0.592282233,0.742127685,0.23244243,-0.184115951
